geo,att,tmobile,uscell,verizon
US-AL,3284,535,4,2464
US-AK,1640,49,0,1292
US-AZ,2715,1650,2,2343
US-AR,2820,212,0,1934
US-CA,4054,1326,25,2724
US-CO,2501,1604,17,2514
US-CT,2139,649,5,2255
US-DE,1728,420,0,1752
US-DC,1691,890,0,1778
US-FL,4180,1476,12,2704
US-GA,4009,653,14,2736
US-HI,2054,1057,0,1731
US-ID,1299,577,7,1929
US-IL,3288,803,253,2428
US-IN,3111,526,22,2743
US-IA,1836,465,1469,1970
US-KS,2614,850,191,1815
US-KY,2797,363,20,2304
US-LA,3361,261,11,2214
US-ME,1131,363,1096,1682
US-MD,2553,1452,28,2455
US-MA,2825,1362,6,2424
US-MI,3633,680,8,2286
US-MN,2738,1283,22,1900
US-MS,2869,132,9,1762
US-MO,3901,607,237,1611
US-MT,1142,313,0,1478
US-NE,1398,433,351,2232
US-NV,2735,1508,28,1568
US-NH,1446,445,188,2153
US-NJ,2716,1447,4,2591
US-NM,1501,1448,0,1756
US-NY,3043,1579,15,2497
US-NC,3480,683,282,2746
US-ND,967,140,0,1481
US-OH,3411,619,7,2024
US-OK,3739,621,969,1656
US-OR,2592,1010,336,2280
US-PA,3187,1178,4,3059
US-RI,1136,992,0,1872
US-SC,2808,750,12,2260
US-SD,1301,117,16,1410
US-TN,3130,501,92,2025
US-TX,4643,1022,24,2657
US-UT,2011,1263,0,1959
US-VT,1710,0,43,1534
US-VA,2729,1086,76,2912
US-WA,2380,1989,127,1923
US-WV,2564,119,538,1425
US-WI,2672,381,1341,2085
US-WY,1203,169,0,1702
